lat,lng,alt,timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_grav,y_grav,z_grav,lum,activity
40.16635,-8.453739,172.33157,1529358300013,-0.9768343,-1.13964,9.375694,1.0646509,1.8503631,-0.63985515,1.0646509,1.8503631,-0.63985515,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300013,-0.9768343,-1.13964,9.375694,1.0646509,1.8503631,-0.63985515,1.5726999,0.92069995,9.635799,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300014,-0.9768343,-1.13964,9.375694,1.0923318,1.6363684,-0.5919459,1.0923318,1.6363684,-0.5919459,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300014,-1.4460979,-0.8810662,9.299079,1.0923318,1.6363684,-0.5919459,1.0923318,1.6363684,-0.5919459,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300015,-1.4460979,-0.8810662,9.299079,1.1040429,1.3829814,-0.53871334,1.1040429,1.3829814,-0.53871334,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300026,-1.9536686,-0.49799395,9.184157,1.1040429,1.3829814,-0.53871334,1.1040429,1.3829814,-0.53871334,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300026,-1.9536686,-0.49799395,9.184157,1.1040429,1.3829814,-0.53871334,1.2949,0.9813,9.6711,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300027,-1.9536686,-0.49799395,9.184157,1.1083015,1.1168188,-0.47696358,1.1083015,1.1168188,-0.47696358,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300027,-1.9536686,-0.49799395,9.184157,1.1083015,1.1168188,-0.47696358,1.1083015,1.1168188,-0.47696358,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300027,-2.2888567,0.0,9.050082,1.1083015,1.1168188,-0.47696358,1.1083015,1.1168188,-0.47696358,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300028,-2.2888567,0.0,9.050082,1.0944611,0.8517207,-0.40882593,1.0944611,0.8517207,-0.40882593,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300028,-2.4899697,0.38307226,8.983045,1.0944611,0.8517207,-0.40882593,1.0944611,0.8517207,-0.40882593,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300042,-2.4899697,0.38307226,8.983045,1.0944611,0.8517207,-0.40882593,1.288,1.0243,9.6675,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300043,-2.4899697,0.38307226,8.983045,1.0625216,0.55574775,-0.34601152,1.0625216,0.55574775,-0.34601152,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300043,-2.5953147,0.8331822,8.992621,1.0625216,0.55574775,-0.34601152,1.0625216,0.55574775,-0.34601152,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300044,-2.5953147,0.8331822,8.992621,1.009289,0.21931808,-0.28958502,1.009289,0.21931808,-0.28958502,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300044,-2.7102363,1.2354081,8.90643,1.009289,0.21931808,-0.28958502,1.009289,0.21931808,-0.28958502,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300045,-2.7102363,1.2354081,8.90643,1.009289,0.21931808,-0.28958502,1.1163,1.1429,9.6756,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300045,-2.7102363,1.2354081,8.90643,0.9326341,-0.11178834,-0.23315853,0.9326341,-0.11178834,-0.23315853,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300046,-2.5378537,1.7908629,8.973468,0.9326341,-0.11178834,-0.23315853,0.9326341,-0.11178834,-0.23315853,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300047,-2.5378537,1.7908629,8.973468,0.8421388,-0.36623988,-0.1841846,0.8421388,-0.36623988,-0.1841846,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300051,-2.27928,2.3654714,9.595961,0.8421388,-0.36623988,-0.1841846,0.8421388,-0.36623988,-0.1841846,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300052,-2.27928,2.3654714,9.595961,0.8421388,-0.36623988,-0.1841846,1.2168,1.1739,9.659699,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300052,-2.27928,2.3654714,9.595961,0.77187186,-0.3119427,-0.15969762,0.77187186,-0.3119427,-0.15969762,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300053,-1.9632454,2.7485435,9.385271,0.77187186,-0.3119427,-0.15969762,0.77187186,-0.3119427,-0.15969762,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300054,-1.9632454,2.7485435,9.385271,0.7601607,-0.085172065,-0.18099064,0.7601607,-0.085172065,-0.18099064,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300061,-0.7374141,2.7964275,9.050082,0.7601607,-0.085172065,-0.18099064,0.7601607,-0.085172065,-0.18099064,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300062,-0.7374141,2.7964275,9.050082,0.7601607,-0.085172065,-0.18099064,1.1494,1.3281,9.648,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300063,-0.7374141,2.7964275,9.050082,0.759096,0.069202304,-0.25658086,0.759096,0.069202304,-0.25658086,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300063,0.81402856,2.5761611,9.203311,0.759096,0.069202304,-0.25658086,0.759096,0.069202304,-0.25658086,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300064,0.81402856,2.5761611,9.203311,0.73993236,0.15969762,-0.3981794,0.73993236,0.15969762,-0.3981794,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300068,2.0207062,2.2122424,9.155427,0.73993236,0.15969762,-0.3981794,0.73993236,0.15969762,-0.3981794,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300071,2.0207062,2.2122424,9.155427,0.73993236,0.15969762,-0.3981794,1.1919999,1.3555,9.639,0.0,WALKING
